weightPerServing,veryHealthy,calories,Fat/g,Carbohydrates/g,Cholesterol/mg,Sodium/mg,Protein/g
496,TRUE,706.07,23.66,5.5,186.77,397.93,111.56
144,FALSE,149.13,12.54,8.64,3.2,227.55,2.84
699,FALSE,1364.48,82.45,97.72,235.87,2732.97,61.32
111,FALSE,152.27,10.11,2.6,33.6,395.94,10.5
401,FALSE,918.54,83.8,23.71,45.28,711.98,25.63
264,FALSE,233.28,12.09,7.61,68.01,371.78,23.81
129,FALSE,444.98,25.07,47.29,0.0,8.44,8.43
943,TRUE,883.97,29.64,36.13,294.68,1299.3,103.67
520,FALSE,1345.43,121.62,44.99,54.56,5128.22,32.09
130,FALSE,592.65,61.44,4.05,47.98,953.36,6.21
59,FALSE,168.53,14.62,7.99,1.15,257.75,2.16
544,FALSE,692.63,46.25,54.8,71.86,1187.22,23.9
47,FALSE,63.38,2.99,7.8,0.87,241.55,1.59
307,FALSE,343.75,16.24,44.07,14.17,349.41,7.12
515,TRUE,869.05,41.97,54.03,269.55,858.86,66.61
294,TRUE,371.73,19.25,7.4,108.56,339.07,40.93
396,FALSE,433.67,11.9,44.72,74.37,343.88,34.64
49,FALSE,118.56,7.13,8.98,15.41,279.99,5.08
326,TRUE,223.05,11.57,14.95,32.89,604.51,16.29
109,TRUE,81.37,2.2,13.21,0.03,61.86,2.29
446,TRUE,669.35,45.67,9.58,292.57,707.71,54.65
320,TRUE,476.99,23.29,57.81,1.2,756.71,10.36
256,TRUE,416.62,16.81,54.36,5.0,363.43,14.3
367,FALSE,707.8,45.93,0.8,225.73,534.63,68.51
191,FALSE,643.44,33.29,62.21,92.41,864.56,24.04
105,FALSE,142.9,4.8,18.81,6.2,530.71,6.41
47,FALSE,97.93,9.4,1.81,8.93,400.65,2.24
355,FALSE,735.36,47.38,20.75,222.04,910.37,54.55
198,FALSE,311.94,28.05,12.51,46.35,396.69,6.44
292,FALSE,268.77,10.82,35.11,12.05,702.63,8.11
465,TRUE,1204.43,35.85,175.84,35.7,522.35,43.1
886,TRUE,1641.56,63.66,216.69,63.36,764.52,59.83
68,FALSE,236.46,15.82,19.08,24.11,406.31,4.88
29,FALSE,36.56,1.69,4.13,1.81,55.54,1.3
365,FALSE,359.78,14.94,12.46,99.32,406.84,43.1
435,FALSE,676.73,52.94,39.47,66.91,1181.47,14.8
180,FALSE,291.77,5.53,51.99,0.9,276.22,9.65
116,FALSE,157.31,8.67,1.34,66.12,140.59,17.68
58,FALSE,58.9,2.21,7.18,1.56,86.82,3.15
288,FALSE,175.18,12.32,16.05,0.6,759.41,3.41
728,TRUE,868.08,51.72,22.16,199.0,450.41,79.37
189,FALSE,642.06,58.35,1.02,163.1,320.15,26.57
958,TRUE,1107.06,85.66,52.15,255.9,3009.62,42.46
144,FALSE,76.27,1.8,14.1,0.21,113.78,1.71
1618,FALSE,411.41,19.18,48.94,54.25,771.65,13.11
